,电影类别,编码,公映证号,片名,第一出品单位,fid,主演,上映日期,想看
0,国产故事片,1100022021,2,红军故事（京剧）,国家京剧院,,,,
1,国产故事片,1100212021,22,异兽,贵州龙仁影视文化产业有限公司,,,,
2,国产故事片,1100272021,28,天降神运,四川九王子影视文化传媒有限公司,,,,
3,国产故事片,1100672021,73,迷途重生,庆阳汇恒盛视影视文化传媒有限公司,,,,
4,国产故事片,1100832021,77,雏凤新声,西安千光影企业文化传播有限公司,,,,
5,国产故事片,1101072021,106,盗圣一枝梅,云南雪域光线影业有限公司,,,,
6,国产故事片,1101172021,113,北方无故人,北京边边角角影视文化有限公司,,,,
7,国产故事片,1101362021,127,最美的礼物,海南果然传媒有限公司,,,,
8,国产故事片,1101412021,132,城南老街新戏,西藏九尾狐文化传媒有限公司,,,,
9,国产故事片,1101432021,134,江湖狂想曲,厦门风云科技股份有限公司,,,,
10,国产故事片,1101642021,141,网球少女,甘肃丝路花雨影视文化传媒有限公司,,,,
11,国产故事片,1101702021,147,天之坑,云南青派文化传媒有限公司,,,,
12,国产故事片,1101912021,166,暑期何漫漫,上海咏而归影业有限公司,,,,
13,国产故事片,1102112021,185,龙门相,北京欢喜首映文化有限公司,,,,
14,国产故事片,1102142021,188,晚安，重庆,重庆三只喜鹊文化传媒有限公司,,,,
15,国产故事片,1102442021,212,疯狂的熊孩子2,陕西润霖影视传媒有限公司,,,,
16,国产故事片,1102642021,230,美丽乡约,苏州花儿红电影制作有限公司,,,,
17,国产故事片,1102812021,238,秋蝉,北京七娱世纪文化传媒有限公司,,,,
18,国产故事片,1102852021,242,守关,喜悦之道传媒有限公司,,,,
19,国产故事片,1102542021,255,邓小平小道,江西电影制片厂有限责任公司,,,,
20,国产故事片,1102562021,261,英雄若兰,湖南潇影第二影业有限公司,,,,
21,国产故事片,1103052021,265,伴我远行,湖北电影制片有限责任公司,,,,
22,国产故事片,1103092021,269,牧民省长尕布龙,宁波影视艺术有限责任公司,,,,
23,国产故事片,1103112021,271,峰爆,中国电影股份有限公司,,,,
24,国产故事片,1103082021,274,我的初恋十八岁,佛山市沙漠之狐影视传媒有限公司,,,,
25,国产故事片,1103352021,278,穿过雨林,纪录工厂（海南）传媒有限公司,,,,
26,国产故事片,1103412021,285,烈马争锋上海滩,西安盛典长安院线有限责任公司,,,,
27,国产故事片,1103422021,286,飞雪迎春,陕西影修源影业有限公司,,,,
28,国产故事片,1103482021,293,嫌疑人之不可撤销,福建寒武纪影视文化发展有限公司,,,,
29,国产故事片,1103542021,300,浴血大别山,宿州金盾文化传媒有限责任公司,,,,
30,国产故事片,1103572021,302,胶东乳娘,威海夏日盛火影视文化有限公司,,,,
31,国产故事片,1103722021,319,镜花缘之决战女儿国,北京东方飞云国际影视股份有限公司,,,,
32,国产故事片,1103732021,322,群英会·借东风（京剧）,中国电影股份有限公司,,,,
33,国产故事片,1103952021,326,有我们无数的好兄弟,北京瀚亿德文化科技有限公司,,,,
34,国产故事片,1103872021,345,走出炭子冲,电影频道节目中心,,,,
35,国产故事片,1104152021,351,守望青春,北方联合影视集团有限公司,,,,
36,国产故事片,1104302021,355,南游记之闹三界,北京东方飞云国际影视股份有限公司,,,,
37,国产故事片,1104442021,358,冰火凤,北京东方飞云国际影视股份有限公司,,,,
38,国产故事片,1104182021,361,突破口,电影频道节目中心,,,,
39,国产故事片,1104472021,378,信者,北京孔氏兄弟影业有限公司,,,,
40,国产故事片,1104502021,381,神龟岛,北京东方飞云国际影视股份有限公司,,,,
41,国产故事片,1104222021,386,我和我的父辈,中国电影股份有限公司,1417305.0,"['吴京', '章子怡', '徐峥']",今天204家影院放映668场,
42,国产故事片,1104552021,388,高铁作证,甘肃鼎级华彩影业有限公司,,,,
43,国产故事片,1104562021,389,花儿为什么这样红,天山电影制片厂,,,,
44,国产故事片,1100792020,75,第一人称,深圳市野火映像文化传播有限公司,,,,
45,国产故事片,1101522020,133,春暖,浙江蔓越莓文化传媒有限公司,,,,
46,国产故事片,1102652020,238,沉默高原,上海影界文化传播有限公司,,,,
47,国产故事片,1103822020,356,纸骑兵,上海肩上鸟影业有限公司,,,,
48,国产故事片,1104662020,408,杨得操家的幸福,庆阳黑格儿影视有限公司,,,,
49,国产故事片,1105132020,443,山河披锦绣,西安乐和影视文化传媒有限公司,,,,
50,国产故事片,1105662020,485,弄巧反拙,河南粉丝文化传媒有限公司,,,,
51,国产故事片,1105752020,495,情满天山,河北广电盛腾传媒有限责任公司,,,,
52,国产故事片,1105932020,517,遇见你之后,浙江自由元素影业有限公司,,,,
